raw_time,text_content
2022-02-09T00:26:53.000Z,MMDA ALERT: Vehicular accident at Ortigas before F/O SB involving 2 motorcycles as of 8:21 AM. 1 occupied. MMDA on site. #mmda
2022-02-09T00:11:56.000Z,MMDA ALERT: Vehicular accident at Mabini bridge SB involving AUV and motorcycle as of 7:48 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T22:58:47.000Z,MMDA ALERT: Vehicular accident at Commonwealth Shop wise involving SUV as of 6:06 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T21:26:42.000Z,MMDA ALERT: Vehicular accident at EDSA Connecticut SB involving Car and Motorcycle as of 5:06 AM. 1 lane occupied. Assisted by MMDA. #mmda
2022-02-08T10:49:16.000Z,MMDA ALERT: Vehicular accident at EDSA Magallanes MRT SB involving SUV and MC as of 6:43 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-08T10:49:15.000Z,MMDA ALERT: Vehicular accident at C5 Lanuza SB involving motorcycle and push cart as of 6:12 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-08T09:58:53.000Z,MMDA ALERT: Vehicular accident at C5 Aurora Katipunan EB involving closed van and PUJ as of 5:50 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-08T09:33:43.000Z,MMDA ALERT: Vehicular accident at Commonwealth Ever Gotesco EB involving SUV and AUV as of 5:25 PM. 2 lanes occupied. MMDA on site. #mmda
2022-02-08T07:20:23.000Z,MMDA ALERT: Vehicular accident at Luzon F/O NB involving 2 Vans as of 3:09 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-08T07:07:59.000Z,MMDA ALERT: Vehicular accident at EDSA Taft SB involving 2 SUVs as of 2:44 PM. 2 lanes occupied. MMDA on site.#mmda
2022-02-08T04:21:25.000Z,MMDA ALERT: Vehicular accident at Legarda Flyover WB involving UV and Taxi as of 12:12 PM. 1 occupied. MMDA on site. #mmda
2022-02-08T04:05:13.000Z,MMDA ALERT: Vehicular accident at C5 Eastwood SB involving 2 motorcycles as of 11:59 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T04:02:58.000Z,MMDA ALERT: Vehicular accident at C5 B.Serrano NB involving pick-up and dump truck as of 11:52 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T03:24:47.000Z,MMDA ALERT: Vehicular accident at Aurora Katipunan WB involving car and bus as of 11:10 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T02:35:43.000Z,MMDA ALERT: Vehicular accident at Ortigas Meralco WB involving car and motorcycle as of 10:28 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T02:00:18.000Z,"MMDA ALERT: Vehicular accident at A,Bonifacio Banal SB involving car and closed van as of 9:53 AM. 1 occupied. MMDA on site. #mmda"
2022-02-08T01:41:40.000Z,MMDA ALERT: Vehicular accident at Quezon Ave Agham tunnel WB involving motorcycle and van as of 9:12 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T01:41:22.000Z,MMDA ALERT: Vehicular accident at C5 Lanuza SB involving wing van and car as of 9:31 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T04:05:13.000Z,MMDA ALERT: Vehicular accident at C5 Eastwood SB involving 2 motorcycles as of 11:59 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T04:02:58.000Z,MMDA ALERT: Vehicular accident at C5 B.Serrano NB involving pick-up and dump truck as of 11:52 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T03:24:47.000Z,MMDA ALERT: Vehicular accident at Aurora Katipunan WB involving car and bus as of 11:10 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T02:35:43.000Z,MMDA ALERT: Vehicular accident at Ortigas Meralco WB involving car and motorcycle as of 10:28 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T02:00:18.000Z,"MMDA ALERT: Vehicular accident at A,Bonifacio Banal SB involving car and closed van as of 9:53 AM. 1 occupied. MMDA on site. #mmda"
2022-02-08T01:41:40.000Z,MMDA ALERT: Vehicular accident at Quezon Ave Agham tunnel WB involving motorcycle and van as of 9:12 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T01:41:22.000Z,MMDA ALERT: Vehicular accident at C5 Lanuza SB involving wing van and car as of 9:31 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T00:23:57.000Z,MMDA ALERT: Vehicular accident at C5 Libis SB involving truck and car as of 8:18 AM. 1 occupied. MMDA on site. #mmda
2022-02-08T00:16:08.000Z,MMDA ALERT: Vehicular accident at Aurora Katipunan F/O SB involving motorcycle as of 8:09 AM. 1 occupied. MMDA on site. #mmda
2022-02-07T23:59:31.000Z,MMDA ALERT: Vehicular accident at EDSA Ortigas F/O SB involving motorcycle and car as of 7:34 AM. 1 occupied. MMDA on site. #mmda
2022-02-07T23:42:10.000Z,MMDA ALERT: Vehicular accident at Roxas blvd UN Ave NB involving truck and car as of 7:24 AM. 1 occupied. MMDA on site. #mmda
2022-02-07T13:57:28.000Z,MMDA ALERT: Vehicular accident  at Roxas Blvd. T. Claudio NB involving truck as of 9:50 PM. 1 lane occupied. MMDA assisted. #mmda
2022-02-07T11:39:04.000Z,MMDA ALERT: Vehicular accident at C5 Blueridge intersection NB involving car and pick-up as of 6:47 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-07T10:35:48.000Z,MMDA ALERT: Vehicular accident at C5 J. Vargas EB involving SUV as of 6:29 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-07T10:15:12.000Z,MMDA ALERT: Vehicular accident at Roxas Blvd Quirino NB involving bicycle and car as of 6:00 PM. 1 lane occupied. MMDA assisted. #mmda
2022-02-07T08:05:42.000Z,MMDA ALERT: Vehicular accident at Quezon Avenue Delta intersection WB involving MC as of 3:49 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-07T07:34:55.000Z,MMDA ALERT: Vehicular accident at C5 Katipunan Ave. C.P. Garcia NB involving van and car as of 3:03 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-07T05:34:40.000Z,MMDA ALERT: Vehicular accident at C5 Eastwood NB involving 2 cars as of 1:31 PM. 1 occupied. MMDA on site. #mmda
2022-02-07T04:25:58.000Z,MMDA ALERT: Vehicular accident at Marcos Highway Barangka WB involving PUJ and Coaster as of 12:19 PM. 1 occupied. MMDA on site. #mmda
2022-02-07T04:20:33.000Z,MMDA ALERT: Vehicular accident at C5 Mckinley NB involving Taxi and Motorcycle as of 12:12 PM. 1 occupied. MMDA on site. #mmda
2022-02-07T02:03:07.000Z,MMDA ALERT: Vehicular accident at Commonwealth Market WB involving taxi and bus as of 10:00 AM. 1 occupied. MMDA on site. #mmda
2022-02-07T01:24:11.000Z,MMDA ALERT: Vehicular accident at Aurora Araneta SB involving SUV and Van as of 9:19 AM. 1 occupied. MMDA on site. #mmda
2022-02-07T01:16:34.000Z,MMDA ALERT: Vehicular accident at Aurora Katipunan WB involving Taxi and L300 van as of 9:02 AM. 1 occupied. MMDA on site. #mmda
2022-02-07T00:15:42.000Z,MMDA ALERT: Vehicular accident at EDSA Ortigas MRT SB involving Car and Motorcycle as of 7:38 AM. 1 occupied. MMDA on site. #mmda
2022-02-07T00:15:35.000Z,MMDA ALERT: Vehicular accident at Katipunan CP. Garcia NB involving 3 Motorcycles as of 7:38 AM. 1 occupied. MMDA on site. #mmda
2022-02-06T23:13:17.000Z,MMDA ALERT: Vehicular accident at C5 Bagong Ilog F/O SB involving 2 motorcycles as of 7:01 AM. 1 occupied. MMDA on site. #mmda
2022-02-06T10:07:19.000Z,MMDA ALERT: Vehicular accident at Commonwealth Tandang Sora WB involving MC and car as of 5:59 PM. 1 lane occupied. MMDA on site. #mmda
